InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,Year,Month,Day,DayOfWeek,DayName,Hour,DaysSinceLatest
577022,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2023-11-17 12:42:00,2.95,13668,United Kingdom,17.700000000000003,2023,11,17,4,Friday,12,22
556576,22139,RETROSPOT TEA SET CERAMIC 11 PC ,2,2023-06-13 13:55:00,4.95,14606,United Kingdom,9.9,2023,6,13,1,Tuesday,13,178
561923,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,2023-08-01 12:16:00,1.25,14112,United Kingdom,30.0,2023,8,1,1,Tuesday,12,130
573511,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2023-10-31 12:25:00,0.55,12347,Iceland,13.2,2023,10,31,1,Tuesday,12,39
557893,23171,REGENCY TEA PLATE GREEN ,12,2023-06-23 14:12:00,1.65,15228,United Kingdom,19.8,2023,6,23,4,Friday,14,168
545515,22715,CARD WEDDING DAY,12,2023-03-03 12:06:00,0.42,12727,France,5.04,2023,3,3,4,Friday,12,281
548212,22857,ASSORTED EASTER GIFT TAGS,12,2023-03-30 09:12:00,0.85,12456,Switzerland,10.2,2023,3,30,3,Thursday,9,254
545428,22423,REGENCY CAKESTAND 3 TIER,4,2023-03-02 14:43:00,12.75,14239,United Kingdom,51.0,2023,3,2,3,Thursday,14,281
578074,23491,VINTAGE JINGLE BELLS HEART,5,2023-11-22 16:06:00,8.25,17590,United Kingdom,41.25,2023,11,22,2,Wednesday,16,16
573876,21917,SET 12 KIDS  WHITE CHALK STICKS,2,2023-11-01 12:48:00,0.42,16360,United Kingdom,0.84,2023,11,1,2,Wednesday,12,38
541225,22312,OFFICE MUG WARMER POLKADOT,2,2023-01-14 14:47:00,2.95,14099,United Kingdom,5.9,2023,1,14,5,Saturday,14,328
580054,23350,ROLL WRAP VINTAGE SPOT ,3,2023-12-01 13:08:00,1.25,18122,United Kingdom,3.75,2023,12,1,4,Friday,13,7
543734,22926,IVORY GIANT GARDEN THERMOMETER,6,2023-02-11 12:22:00,5.95,17512,United Kingdom,35.7,2023,2,11,5,Saturday,12,301
543132,22029,SPACEBOY BIRTHDAY CARD,12,2023-02-03 15:27:00,0.42,15235,United Kingdom,5.04,2023,2,3,4,Friday,15,308
574659,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2023-11-06 11:44:00,2.08,16942,United Kingdom,4.16,2023,11,6,0,Monday,11,33
565649,23206,LUNCH BAG APPLE DESIGN,3,2023-09-05 16:27:00,1.65,16712,United Kingdom,4.949999999999999,2023,9,5,1,Tuesday,16,94
565766,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,2023-09-06 14:23:00,2.55,17841,United Kingdom,2.55,2023,9,6,2,Wednesday,14,93
542401,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2023-01-27 15:51:00,2.95,14541,United Kingdom,2.95,2023,1,27,4,Friday,15,315
565541,82616B,FRAPPUCINO SCARF KNITTING KIT,2,2023-09-05 12:00:00,1.25,14159,United Kingdom,2.5,2023,9,5,1,Tuesday,12,95
553731,23160,REGENCY TEA SPOON,12,2023-05-19 08:26:00,1.25,12481,Germany,15.0,2023,5,19,4,Friday,8,204
574737,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2023-11-06 15:53:00,1.65,14868,United Kingdom,19.8,2023,11,6,0,Monday,15,32
548611,21790,VINTAGE SNAP CARDS,24,2023-04-01 11:31:00,0.85,18230,United Kingdom,20.4,2023,4,1,5,Saturday,11,252
574740,22969,HOMEMADE JAM SCENTED CANDLES,96,2023-11-06 16:07:00,1.25,12357,Switzerland,120.0,2023,11,6,0,Monday,16,32
551056,21899,"KEY FOB , GARAGE DESIGN",1,2023-04-26 11:51:00,0.65,16442,United Kingdom,0.65,2023,4,26,2,Wednesday,11,227
578270,21703,BAG 125g SWIRLY MARBLES,1,2023-11-23 13:39:00,0.83,14096,United Kingdom,0.83,2023,11,23,3,Thursday,13,15
561113,20718,RED RETROSPOT SHOPPER BAG,4,2023-07-25 12:09:00,1.25,17841,United Kingdom,5.0,2023,7,25,1,Tuesday,12,137
564353,22956,36 FOIL HEART CAKE CASES,12,2023-08-24 15:08:00,2.1,15764,United Kingdom,25.200000000000003,2023,8,24,3,Thursday,15,106
581251,22193,RED DINER WALL CLOCK,2,2023-12-08 11:02:00,8.5,18210,United Kingdom,17.0,2023,12,8,4,Friday,11,1
576779,21156,RETROSPOT CHILDRENS APRON,3,2023-11-16 13:25:00,1.95,14554,United Kingdom,5.85,2023,11,16,3,Thursday,13,22
557442,22545,MINI JIGSAW BUNNIES,4,2023-06-20 12:53:00,0.42,14808,United Kingdom,1.68,2023,6,20,1,Tuesday,12,171
539590,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,12,2022-12-20 13:21:00,8.5,14733,United Kingdom,102.0,2022,12,20,1,Tuesday,13,353
576560,23203,JUMBO BAG VINTAGE DOILY ,1,2023-11-15 13:21:00,2.08,12877,United Kingdom,2.08,2023,11,15,2,Wednesday,13,23
563924,21899,GARAGE KEY FOB,1,2023-08-21 14:32:00,0.65,15984,United Kingdom,0.65,2023,8,21,0,Monday,14,109
556063,23209,LUNCH BAG DOILEY PATTERN ,2,2023-06-08 14:09:00,1.65,14587,United Kingdom,3.3,2023,6,8,3,Thursday,14,183
555815,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2023-06-07 11:47:00,1.25,13089,United Kingdom,15.0,2023,6,7,2,Wednesday,11,185
549976,21577,SAVE THE PLANET COTTON TOTE BAG,6,2023-04-13 14:39:00,2.25,15855,United Kingdom,13.5,2023,4,13,3,Thursday,14,239
578323,22507,MEMO BOARD RETROSPOT  DESIGN,4,2023-11-23 17:19:00,4.95,15743,United Kingdom,19.8,2023,11,23,3,Thursday,17,15
578678,23582,VINTAGE DOILY JUMBO BAG RED ,1,2023-11-24 19:59:00,2.08,17841,United Kingdom,2.08,2023,11,24,4,Friday,19,14
552265,22747,POPPY'S PLAYHOUSE BATHROOM,2,2023-05-08 11:41:00,2.1,14161,United Kingdom,4.2,2023,5,8,0,Monday,11,215
543024,21864,UNION JACK FLAG PASSPORT COVER ,36,2023-02-02 14:39:00,1.69,13777,United Kingdom,60.84,2023,2,2,3,Thursday,14,309
540473,21207,SKULL AND CROSSBONES  GARLAND ,3,2023-01-07 14:31:00,1.65,17284,United Kingdom,4.949999999999999,2023,1,7,5,Saturday,14,335
547382,21181,PLEASE ONE PERSON METAL SIGN,2,2023-03-22 15:31:00,2.1,15457,United Kingdom,4.2,2023,3,22,2,Wednesday,15,261
556782,21470,FLOWER VINE RAFFIA FOOD COVER,3,2023-06-14 13:04:00,3.75,14871,United Kingdom,11.25,2023,6,14,2,Wednesday,13,177
549993,22963,JAM JAR WITH GREEN LID,24,2023-04-14 08:26:00,0.85,14057,United Kingdom,20.4,2023,4,14,4,Friday,8,239
537781,21983,PACK OF 12 BLUE PAISLEY TISSUES ,1,2022-12-08 12:46:00,0.29,17341,United Kingdom,0.29,2022,12,8,3,Thursday,12,366
542795,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2023-02-01 10:59:00,4.95,18055,United Kingdom,29.700000000000003,2023,2,1,2,Wednesday,10,311
579868,23354,6 GIFT TAGS 50'S CHRISTMAS ,24,2023-11-30 16:43:00,0.83,15544,United Kingdom,19.92,2023,11,30,3,Thursday,16,8
561615,22840,ROUND CAKE TIN VINTAGE RED,4,2023-07-28 12:57:00,7.95,13319,United Kingdom,31.8,2023,7,28,4,Friday,12,133
547375,22150,3 STRIPEY MICE FELTCRAFT,6,2023-03-22 14:24:00,1.95,13196,United Kingdom,11.7,2023,3,22,2,Wednesday,14,261
536500,22113,GREY HEART HOT WATER BOTTLE,3,2022-12-01 12:35:00,3.75,17377,United Kingdom,11.25,2022,12,1,3,Thursday,12,373
565434,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2023-09-04 13:35:00,2.08,12867,United Kingdom,4.16,2023,9,4,0,Monday,13,95
566851,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2023-09-15 12:16:00,9.95,15573,United Kingdom,19.9,2023,9,15,4,Friday,12,85
578078,23176,ABC TREASURE BOOK BOX ,8,2023-11-22 16:24:00,2.25,12586,Italy,18.0,2023,11,22,2,Wednesday,16,16
553402,21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,2,2023-05-16 17:13:00,1.25,17898,United Kingdom,2.5,2023,5,16,1,Tuesday,17,206
574706,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2023-11-06 14:06:00,1.25,16790,United Kingdom,15.0,2023,11,6,0,Monday,14,32
574839,20802,SMALL GLASS SUNDAE DISH CLEAR,6,2023-11-07 11:40:00,1.65,15493,United Kingdom,9.9,2023,11,7,1,Tuesday,11,32
540357,21209,MULTICOLOUR HONEYCOMB FAN,48,2023-01-06 15:14:00,0.65,13093,United Kingdom,31.200000000000003,2023,1,6,4,Friday,15,336
563928,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",2,2023-08-21 15:17:00,0.39,17059,United Kingdom,0.78,2023,8,21,0,Monday,15,109
573152,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2023-10-27 20:16:00,0.55,17530,United Kingdom,2.2,2023,10,27,4,Friday,20,42
