Orders,Total_Spend,Avg_Order_Value,Total_Items,First_Purchase,Last_Purchase,Unique_Products,Customer_Lifetime_Days,Recency_Days,Customer_Type
1,131.94,10.15,67,2023-10-17 13:43:00,2023-10-17 13:43:00,13,0,52,Regular
2,477.79,15.41,325,2023-01-11 09:12:00,2023-05-17 09:24:00,29,126,206,At Risk
2,1054.73,16.23,1016,2023-10-31 16:24:00,2023-11-22 13:29:00,48,21,16,Regular
4,1313.1,15.45,1506,2023-08-19 15:24:00,2023-12-02 10:22:00,70,104,7,Regular
1,1432.0,358.0,800,2023-08-21 11:05:00,2023-08-21 11:05:00,4,0,110,Regular
3,1071.73,2.56,718,2023-11-29 15:09:00,2023-12-08 13:50:00,313,8,0,Regular
1,383.7,23.98,131,2022-12-21 15:43:00,2022-12-21 15:43:00,16,0,352,At Risk
1,229.33,8.82,123,2023-03-30 16:14:00,2023-03-30 16:14:00,26,0,253,At Risk
2,982.07,37.77,269,2023-03-09 10:19:00,2023-09-07 11:43:00,25,182,93,Regular
1,559.87,16.97,336,2023-05-27 12:41:00,2023-05-27 12:41:00,33,0,196,At Risk
7,2533.42,11.95,1213,2023-03-06 14:44:00,2023-12-05 10:09:00,166,273,4,VIP
63,80850.84,335.48,40108,2022-12-01 09:57:00,2023-11-01 10:27:00,44,335,38,VIP
3,1122.63,6.49,540,2023-04-14 12:31:00,2023-11-06 11:43:00,141,205,33,Regular
1,93.82,2.84,252,2023-10-05 17:28:00,2023-10-05 17:28:00,32,0,64,Regular
2,2004.3,18.06,1536,2022-12-13 12:50:00,2023-11-15 15:06:00,97,337,23,Regular
5,2044.87,42.6,829,2022-12-06 15:14:00,2023-12-02 11:21:00,34,360,7,Regular
2,495.77,17.71,85,2023-03-03 12:53:00,2023-05-05 09:05:00,24,62,218,At Risk
6,1869.82,16.12,2250,2023-02-25 12:40:00,2023-11-03 11:51:00,101,250,36,Frequent
1,1542.08,110.15,929,2023-03-23 12:06:00,2023-03-23 12:06:00,14,0,261,At Risk
1,157.9,26.32,101,2023-05-18 10:48:00,2023-05-18 10:48:00,6,0,205,At Risk
17,10504.49,27.5,3899,2022-12-08 11:02:00,2023-12-05 13:34:00,270,362,3,VIP
3,3502.32,13.22,1764,2023-02-07 11:42:00,2023-09-18 15:21:00,207,223,81,High Value
2,285.89,16.82,175,2023-08-22 12:32:00,2023-11-04 14:31:00,15,74,34,Regular
8,2463.05,8.46,1783,2022-12-08 10:36:00,2023-12-07 12:34:00,214,364,2,VIP
3,2515.84,28.27,1784,2023-03-23 13:42:00,2023-07-28 18:56:00,55,127,133,High Value
1,325.75,15.51,293,2023-02-01 11:21:00,2023-02-01 11:21:00,21,0,311,At Risk
4,3281.63,21.31,1707,2023-01-07 15:27:00,2023-11-11 14:52:00,129,307,27,High Value
1,439.66,15.7,338,2023-11-10 11:45:00,2023-11-10 11:45:00,28,0,29,Regular
6,2656.13,16.5,1959,2022-12-20 11:38:00,2023-11-08 12:13:00,133,323,31,VIP
1,415.2,27.68,58,2023-10-03 10:38:00,2023-10-03 10:38:00,15,0,67,Regular
2,427.64,4.45,275,2023-05-03 17:12:00,2023-06-27 13:00:00,83,54,164,Regular
2,1021.58,17.03,605,2023-02-15 13:52:00,2023-08-11 09:47:00,55,176,120,Regular
2,541.53,15.04,443,2023-09-29 10:10:00,2023-10-30 14:18:00,33,31,39,Regular
1,344.33,8.83,166,2023-09-23 12:50:00,2023-09-23 12:50:00,39,0,77,Regular
2,183.44,10.79,286,2023-10-21 09:50:00,2023-11-10 17:17:00,16,20,28,Regular
11,1980.57,8.5,956,2023-01-04 12:45:00,2023-10-04 15:55:00,150,273,65,Frequent
30,18641.01,26.25,11441,2022-12-13 15:44:00,2023-12-08 12:05:00,363,359,1,VIP
5,1236.54,17.92,1210,2023-04-06 14:02:00,2023-09-13 14:53:00,35,160,86,Regular
2,1160.07,20.35,460,2023-10-03 14:05:00,2023-11-18 13:14:00,53,45,20,Regular
8,2340.84,26.6,1006,2023-06-23 10:20:00,2023-12-02 13:15:00,64,162,6,VIP
11,4757.16,26.43,3664,2023-03-17 09:03:00,2023-12-08 16:29:00,81,266,0,VIP
1,318.15,6.12,257,2023-10-28 17:27:00,2023-10-28 17:27:00,50,0,41,Regular
6,881.29,7.6,588,2023-04-21 15:46:00,2023-11-10 16:59:00,107,203,28,Frequent
1,183.6,22.95,128,2023-03-18 10:06:00,2023-03-18 10:06:00,8,0,266,At Risk
3,1421.61,21.54,1037,2023-07-24 15:39:00,2023-10-24 10:13:00,37,91,46,Regular
1,375.69,37.57,91,2022-12-06 09:52:00,2022-12-06 09:52:00,9,0,368,At Risk
2,302.1,2.65,198,2023-10-30 14:33:00,2023-11-27 15:02:00,105,28,11,Regular
2,877.44,146.24,1200,2023-08-16 09:50:00,2023-09-08 10:49:00,4,23,92,Regular
2,216.21,10.3,72,2023-06-27 12:49:00,2023-07-08 12:50:00,21,11,154,Regular
5,2053.02,17.55,1047,2022-12-02 18:27:00,2023-10-28 12:39:00,91,329,42,Regular
2,596.85,74.61,171,2023-03-16 13:44:00,2023-05-10 11:55:00,8,54,213,At Risk
3,1266.97,18.91,778,2022-12-14 13:03:00,2023-11-07 15:15:00,53,328,31,Regular
3,468.41,10.18,229,2023-02-13 14:16:00,2023-11-18 10:27:00,37,277,21,Regular
2,221.27,8.2,221,2023-06-21 13:38:00,2023-12-01 12:54:00,23,162,7,Regular
4,1791.56,15.58,1386,2023-06-09 09:32:00,2023-12-08 13:46:00,86,182,0,Regular
1,204.5,12.78,175,2023-03-01 12:48:00,2023-03-01 12:48:00,16,0,283,At Risk
2,1025.44,51.27,1162,2023-09-15 10:53:00,2023-10-05 14:19:00,20,20,64,Regular
16,9227.82,17.71,4426,2023-03-08 14:12:00,2023-12-01 13:19:00,270,267,7,VIP
3,1316.66,18.54,632,2023-09-06 14:19:00,2023-12-09 12:09:00,64,93,0,Regular
4,2027.5,18.6,1302,2023-06-08 15:05:00,2023-12-08 15:09:00,82,183,0,Regular
2,388.25,20.43,155,2023-03-28 14:57:00,2023-10-06 10:31:00,19,191,64,Regular
1,191.95,7.68,63,2023-07-25 11:01:00,2023-07-25 11:01:00,24,0,137,Regular
3,1095.08,17.38,578,2022-12-06 09:21:00,2023-10-25 08:51:00,48,322,45,Regular
3,501.03,3.19,412,2022-12-06 12:23:00,2023-11-13 15:44:00,150,342,25,Regular
10,2248.99,19.06,982,2022-12-07 15:02:00,2023-11-18 09:58:00,102,345,21,VIP
2,365.45,19.23,127,2022-12-10 10:27:00,2022-12-14 13:31:00,18,4,359,At Risk
3,1842.14,32.32,942,2023-08-03 12:50:00,2023-10-28 13:19:00,41,86,41,Regular
55,8507.13,8.76,2088,2022-12-05 13:17:00,2023-12-07 12:19:00,330,366,2,VIP
6,3506.54,44.96,1802,2023-04-14 08:32:00,2023-10-19 11:53:00,55,188,51,VIP
1,712.78,37.51,398,2023-11-07 10:23:00,2023-11-07 10:23:00,19,0,32,Regular
2,467.51,19.48,155,2023-10-19 13:38:00,2023-10-19 13:49:00,24,0,50,Regular
15,8476.57,24.64,4987,2022-12-09 10:37:00,2023-12-05 16:31:00,177,361,3,VIP
1,351.65,18.51,265,2023-09-14 14:30:00,2023-09-14 14:30:00,19,0,85,Regular
1,185.65,23.21,77,2023-04-11 09:47:00,2023-04-11 09:47:00,8,0,242,At Risk
2,679.45,13.87,751,2023-09-14 14:26:00,2023-11-21 08:19:00,48,67,18,Regular
1,530.15,23.05,139,2023-02-11 14:26:00,2023-02-11 14:26:00,23,0,300,At Risk
5,5059.32,46.85,1801,2023-06-20 13:27:00,2023-10-28 11:43:00,107,129,42,High Value
6,1429.64,29.78,558,2023-04-20 12:28:00,2023-12-02 14:16:00,30,226,6,Frequent
2,701.23,21.25,277,2023-09-19 14:43:00,2023-09-21 09:18:00,33,1,79,Regular
1,301.72,15.88,642,2023-09-22 18:15:00,2023-09-22 18:15:00,19,0,77,Regular
2,380.39,4.18,219,2022-12-08 15:17:00,2023-11-02 15:56:00,87,329,36,Regular
2,287.62,35.95,166,2023-03-15 12:05:00,2023-11-17 12:59:00,8,247,21,Regular
2,529.73,11.27,877,2023-07-06 14:59:00,2023-07-28 15:55:00,47,22,133,Regular
1,427.8,17.82,164,2022-12-03 15:45:00,2022-12-03 15:45:00,24,0,370,At Risk
1,349.83,21.86,153,2023-11-09 13:47:00,2023-11-09 13:47:00,16,0,29,Regular
22,26626.8,591.71,32184,2023-02-03 10:50:00,2023-12-02 12:19:00,9,302,7,VIP
1,123.1,10.26,42,2023-04-06 10:40:00,2023-04-06 10:40:00,12,0,247,At Risk
1,337.44,24.1,232,2023-07-29 09:01:00,2023-07-29 09:01:00,14,0,133,Regular
3,478.09,8.85,196,2023-03-13 10:25:00,2023-10-23 10:38:00,47,224,47,Regular
5,1551.78,19.64,1948,2023-05-08 12:38:00,2023-11-25 08:12:00,63,200,14,Regular
1,210.31,3.19,129,2023-11-06 12:25:00,2023-11-06 12:25:00,66,0,33,Regular
4,2207.4,275.92,873,2023-01-24 15:47:00,2023-08-18 17:04:00,8,206,112,High Value
2,770.12,12.62,341,2022-12-07 11:49:00,2023-03-30 12:15:00,59,113,254,At Risk
2,567.36,51.58,372,2023-09-14 15:18:00,2023-09-28 15:24:00,10,14,71,Regular
6,1335.19,26.7,673,2023-06-23 09:22:00,2023-12-01 13:47:00,34,161,7,Frequent
2,343.23,171.62,2019,2022-12-12 12:03:00,2023-07-19 15:30:00,1,219,142,Regular
2,595.42,31.34,616,2023-05-12 15:23:00,2023-11-14 12:07:00,17,185,25,Regular
28,6295.37,5.66,4230,2022-12-08 14:36:00,2023-11-24 12:25:00,360,350,15,VIP
4,605.8,23.3,114,2023-01-10 11:59:00,2023-05-05 13:46:00,14,115,217,At Risk
3,2081.9,21.24,1122,2023-06-26 13:46:00,2023-12-01 13:22:00,77,157,7,High Value
13,4396.13,33.05,1062,2022-12-03 14:30:00,2023-11-11 08:19:00,58,342,28,VIP
3,1290.53,19.85,711,2023-10-14 09:35:00,2023-11-03 14:53:00,65,20,35,Regular
1,213.96,30.57,168,2023-11-29 09:48:00,2023-11-29 09:48:00,7,0,10,Regular
6,3160.0,21.35,2638,2022-12-05 13:21:00,2023-10-11 13:45:00,110,310,58,VIP
