Recency,Frequency,Monetary,Cluster,Segment
9,55,117210.08,1,Loyal Customers
3,47,37130.6,1,Loyal Customers
23,21,124914.53,1,Loyal Customers
0,45,58510.48,1,Loyal Customers
1,73,280206.02,1,Loyal Customers
7,44,51527.3,1,Loyal Customers
3,48,54534.14,1,Loyal Customers
0,209,33053.19,1,Loyal Customers
1,124,40519.84,1,Loyal Customers
3,50,65039.62,1,Loyal Customers
3,86,11189.91,1,Loyal Customers
0,201,143711.17,1,Loyal Customers
6,26,56252.72,1,Loyal Customers
2,97,58762.08,1,Loyal Customers
1,62,28117.04,1,Loyal Customers
7,46,194390.79,1,Loyal Customers
38,63,80850.84,1,Loyal Customers
2,31,91062.38,1,Loyal Customers
16,51,34684.4,1,Loyal Customers
0,60,259657.3,1,Loyal Customers
3,28,66653.56,1,Loyal Customers
3,17,65164.79,1,Loyal Customers
0,93,12076.15,1,Loyal Customers
0,91,60632.75,1,Loyal Customers
0,2,168472.5,1,Loyal Customers
0,57,37153.85,1,Loyal Customers
6,8,4331.48,0,Regular Customers
156,1,197.22,0,Regular Customers
337,1,1044.65,0,Regular Customers
22,5,732.07,0,Regular Customers
11,4,800.5899999999999,0,Regular Customers
25,5,1358.74,0,Regular Customers
38,2,692.19,0,Regular Customers
53,1,362.06,0,Regular Customers
9,8,4017.54,0,Regular Customers
30,2,595.25,0,Regular Customers
178,1,98.25,0,Regular Customers
249,1,183.4,0,Regular Customers
14,9,6868.29,0,Regular Customers
1,5,1217.27,0,Regular Customers
46,6,1611.59,0,Regular Customers
16,2,364.72,0,Regular Customers
63,1,2626.3,0,Regular Customers
231,1,139.35,0,Regular Customers
27,1,491.86,0,Regular Customers
22,3,1166.77,0,Regular Customers
129,1,1487.6,0,Regular Customers
0,33,25977.16,0,Regular Customers
218,2,495.77,0,Regular Customers
199,3,1396.99,0,Regular Customers
6,2,334.48,0,Regular Customers
216,1,90.12,0,Regular Customers
17,3,1545.41,0,Regular Customers
84,4,997.63,0,Regular Customers
10,4,745.0600000000001,0,Regular Customers
177,4,675.64,0,Regular Customers
81,3,348.71000000000004,0,Regular Customers
371,1,248.1,0,Regular Customers
9,1,329.85,0,Regular Customers
2,5,1404.64,0,Regular Customers
76,3,690.59,0,Regular Customers
68,2,477.86,0,Regular Customers
160,4,225.26,0,Regular Customers
26,5,920.51,0,Regular Customers
1,17,2004.98,0,Regular Customers
260,1,154.95,0,Regular Customers
74,2,1000.39,0,Regular Customers
0,7,13375.87,0,Regular Customers
13,2,411.41,0,Regular Customers
33,1,230.51,0,Regular Customers
130,1,1089.18,0,Regular Customers
8,5,4708.86,0,Regular Customers
240,1,350.75,0,Regular Customers
94,2,1080.52,0,Regular Customers
0,15,5343.28,0,Regular Customers
3,2,178.96,0,Regular Customers
304,1,155.05,0,Regular Customers
10,5,2314.65,0,Regular Customers
20,8,716.0,0,Regular Customers
77,1,511.82,0,Regular Customers
131,2,765.34,0,Regular Customers
22,10,5579.82,0,Regular Customers
287,1,462.95,0,Regular Customers
73,3,572.451,0,Regular Customers
4,5,1028.0,0,Regular Customers
15,2,1345.53,0,Regular Customers
9,4,874.43,0,Regular Customers
27,3,1132.03,0,Regular Customers
248,1,463.95,0,Regular Customers
7,4,1313.1,0,Regular Customers
1,7,2519.21,0,Regular Customers
3,3,704.55,0,Regular Customers
38,1,108.98,0,Regular Customers
75,1,302.2,0,Regular Customers
89,1,1070.48,0,Regular Customers
7,8,2702.49,0,Regular Customers
25,1,98.42,0,Regular Customers
126,1,233.22,0,Regular Customers
184,6,683.46,0,Regular Customers
80,1,242.35,0,Regular Customers
110,3,1474.06,0,Regular Customers
332,3,2184.42,0,Regular Customers
28,5,1334.34,0,Regular Customers
66,7,3313.79,0,Regular Customers
8,25,8109.519999999999,0,Regular Customers
42,7,1280.85,0,Regular Customers
31,1,777.6,0,Regular Customers
127,2,1516.0,0,Regular Customers
0,10,2367.12,0,Regular Customers
0,13,4206.39,0,Regular Customers
53,1,384.08,0,Regular Customers
213,1,92.72,0,Regular Customers
9,5,2874.72,0,Regular Customers
8,9,3546.71,0,Regular Customers
332,1,234.0,0,Regular Customers
2,7,1616.8,0,Regular Customers
0,1,848.55,0,Regular Customers
261,1,237.07,0,Regular Customers
124,1,375.1,0,Regular Customers
2,5,987.1,0,Regular Customers
85,3,631.34,0,Regular Customers
23,14,3187.55,0,Regular Customers
1,37,17220.36,0,Regular Customers
9,8,1212.05,0,Regular Customers
42,3,12601.830000000002,0,Regular Customers
8,3,202.11,0,Regular Customers
2,13,5298.4800000000005,0,Regular Customers
24,4,867.38,0,Regular Customers
18,5,859.27,0,Regular Customers
12,2,675.64,0,Regular Customers
25,6,1827.8,0,Regular Customers
21,19,4345.5,0,Regular Customers
193,2,208.59,0,Regular Customers
274,1,223.95,0,Regular Customers
3,27,16143.64,0,Regular Customers
187,2,263.33,0,Regular Customers
149,2,159.85,0,Regular Customers
300,1,530.15,0,Regular Customers
1,12,4799.9,0,Regular Customers
21,4,1400.44,0,Regular Customers
95,4,663.65,0,Regular Customers
274,2,1489.5,0,Regular Customers
24,11,2102.54,0,Regular Customers
20,2,1160.07,0,Regular Customers
116,1,193.75,0,Regular Customers
6,22,2237.77,0,Regular Customers
211,2,266.59000000000003,0,Regular Customers
115,3,621.83,0,Regular Customers
235,1,338.95,0,Regular Customers
12,6,908.86,0,Regular Customers
39,4,618.52,0,Regular Customers
238,2,416.86,0,Regular Customers
218,1,306.72,0,Regular Customers
15,8,1502.86,0,Regular Customers
7,2,497.56,0,Regular Customers
13,2,523.11,0,Regular Customers
330,1,197.65,0,Regular Customers
30,2,629.31,0,Regular Customers
20,3,403.7000000000001,0,Regular Customers
16,2,338.62,0,Regular Customers
58,3,855.45,0,Regular Customers
32,3,658.88,0,Regular Customers
59,1,371.54,0,Regular Customers
21,5,1177.47,0,Regular Customers
38,3,650.41,0,Regular Customers
14,4,1320.21,0,Regular Customers
2,2,274.15000000000003,0,Regular Customers
168,7,3703.29,0,Regular Customers
7,2,869.77,0,Regular Customers
233,1,383.95,0,Regular Customers
189,1,455.25,0,Regular Customers
63,8,11581.8,0,Regular Customers
372,2,256.44,0,Regular Customers
23,4,720.86,0,Regular Customers
22,10,9401.28,0,Regular Customers
371,1,50.55,0,Regular Customers
11,3,849.06,0,Regular Customers
7,7,2283.63,0,Regular Customers
305,1,131.9,0,Regular Customers
106,2,696.89,0,Regular Customers
74,1,254.28,0,Regular Customers
132,1,241.62,0,Regular Customers
266,2,806.41,0,Regular Customers
2,4,915.13,0,Regular Customers
48,1,413.59,0,Regular Customers
16,12,3107.87,0,Regular Customers
3,12,1535.77,0,Regular Customers
128,1,168.0,0,Regular Customers
59,6,1059.12,0,Regular Customers
67,1,480.71,0,Regular Customers
28,3,1499.01,0,Regular Customers
0,34,31833.68,0,Regular Customers
60,5,1482.06,0,Regular Customers
8,9,12669.98,0,Regular Customers
4,5,2573.93,0,Regular Customers
1,7,3213.59,0,Regular Customers
91,2,716.35,0,Regular Customers
36,6,2248.56,0,Regular Customers
88,1,547.02,0,Regular Customers
15,5,11990.96,0,Regular Customers
8,8,1646.84,0,Regular Customers
11,5,2919.81,0,Regular Customers
95,5,948.25,0,Regular Customers
17,4,501.12,0,Regular Customers
360,1,102.0,0,Regular Customers
71,1,224.14,0,Regular Customers
73,1,145.67,0,Regular Customers
70,3,2748.31,0,Regular Customers
6,2,52.2,0,Regular Customers
18,4,870.09,0,Regular Customers
2,9,1823.52,0,Regular Customers
372,1,102.79,0,Regular Customers
114,1,185.9,0,Regular Customers
28,1,363.95,0,Regular Customers
50,1,415.8200000000001,0,Regular Customers
226,1,160.54000000000002,0,Regular Customers
48,3,488.2,0,Regular Customers
107,3,422.47,0,Regular Customers
49,2,290.25,0,Regular Customers
24,1,394.38,0,Regular Customers
211,2,201.37,0,Regular Customers
213,1,459.4,0,Regular Customers
2,7,1319.91,0,Regular Customers
17,4,986.48,0,Regular Customers
52,9,2241.1,0,Regular Customers
304,1,141.92,0,Regular Customers
