StockCode,Description,Total_Quantity_Sold,Total_Revenue,Number_of_Orders,Unique_Customers
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1
22423,REGENCY CAKESTAND 3 TIER,12374,142264.75,1703,881
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36706,100392.1,1971,856
85099B,JUMBO BAG RED RETROSPOT,46078,85040.54,1600,635
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73,195,138
POST,POSTAGE,3120,77803.96,1099,331
47566,PARTY BUNTING,15279,68785.23,1379,708
84879,ASSORTED COLOUR BIRD ORNAMENT,35263,56413.03,1375,678
M,Manual,6933,53419.93,253,197
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,450
79321,CHILLI LIGHTS,9646,46265.11,519,205
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15591,42584.13,980,613
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,1
21137,BLACK RECORD COVER FRAME,11401,39045.8,313,140
22386,JUMBO BAG PINK POLKADOT,20148,37254.36,871,372
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,378
23298,SPOTTY BUNTING,7633,35509.55,1003,571
82484,WOOD BLACK BOARD ANT WHITE FINISH,5913,34414.71,604,285
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,33298.3,1146,640
22960,JAM MAKING SET WITH JARS,8140,32616.22,878,573
85099F,JUMBO BAG STRAWBERRY,16771,30569.32,654,315
22178,VICTORIAN GLASS HANGING T-LIGHT,22404,28735.36,815,403
22470,HEART OF WICKER LARGE,9577,28479.65,801,485
22469,HEART OF WICKER SMALL,16768,28217.09,961,573
20725,LUNCH BAG RED RETROSPOT,17576,27868.8,1288,532
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.28,718,472
23199,JUMBO BAG APPLES,13875,26426.3,718,344
22727,ALARM CLOCK BAKELIKE RED ,7206,25868.95,877,388
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,9423,25639.77,697,470
20685,DOORMAT RED RETROSPOT,3897,25364.85,576,329
21175,GIN + TONIC DIET METAL SIGN,11501,24944.88,655,330
22699,ROSES REGENCY TEACUP AND SAUCER ,9119,24827.25,783,423
22629,SPACEBOY LUNCH BOX ,13908,24673.14,704,322
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.55,719,474
23201,JUMBO BAG ALPHABET,12533,24160.44,752,396
22457,NATURAL SLATE HEART CHALKBOARD ,8427,24089.17,967,587
21181,PLEASE ONE PERSON METAL SIGN,11932,23865.82,694,361
21915,RED  HARMONICA IN BOX ,20945,23756.43,561,349
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12771,23630.58,649,306
48138,DOORMAT UNION FLAG,3614,23622.54,516,313
22112,CHOCOLATE HOT WATER BOTTLE,5152,23584.64,700,382
22197,POPCORN HOLDER,30919,23417.51,632,295
23173,REGENCY TEAPOT ROSES ,2662,23033.52,354,248
22138,BAKING SET 9 PIECE RETROSPOT ,4786,22953.1,854,581
48187,DOORMAT NEW ENGLAND,3698,22783.8,531,314
22189,CREAM HEART CARD HOLDER,8188,22687.92,452,274
21623,VINTAGE UNION JACK MEMOBOARD,3252,22679.28,205,139
21733,RED HANGING HEART T-LIGHT HOLDER,7749,22595.19,679,385
